,ProductName,Description,Gender,PrimaryColor,ProductBrand
137,id  black leather formal derbys,"a pair of black round-toed formal derbys, has central lace-upsleather upper, has a textured detailcushioned footbedtextured pu outsole, has a stacked heelwarranty: 3 months against manufacturing defect onlywarranty provided by the brand owner / manufacturer",men, black,id
138,spykar  white alexa super skinny fit high-rise clean look stretchable ankle jeans,"white light wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",women, white,spykar
139,zush  size women black regular fit mid-rise clean look jeans,"black dark wash five-pocket mid-rise jeans, clean look with heavy fade, has a button and zip closure, waistband with belt loops",women, black,zush
140,story@home  floral 210 tc cotton 1 king bedsheet with 2 pillow covers,set content: 1 king bedsheet with 2 pillow coversquality: superfinethread count: 210colour: mustardpattern: floral,unisex, mustard,story@home
141,dkny unisex gold & white printed large trolley bag,"gold and white printed large trolley bag, secured with a tsa lockone handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsone main zip compartment, zip lining , two compression straps with click clasps, one zip compartment on the flap with three zip pocketswarranty: 5 yearswarranty provided by brand owner / manufacturer",unisex, white,dkny
142,campus sutra  green & navy blue regular fit checked casual shirt,"green and navy blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",men,blue,campus sutra
143,campus sutra  navy & grey melange standard regular fit colourblocked casual shirt,"navy blue and grey melange colourblocked casual shirt, has a mandarin collar, long sleeves, button placket, and curved hem",men, grey,campus sutra
144,parx  blue slim fit checked casual shirt,"blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",men,blue,parx
145,jbn creation  maroon & brown sherwani set,"maroon and brown sherwanimaroon woven design sherwani, has a mandarin collar, a full button placket, a welt pocket, multipple slitscomes with a pocket squarea pair of brown mid-rise pyjama with gathers and pleats, has an elasticated waistband",boys, brown,jbn creation
146,u.s. polo assn. kids  navy hooded sweatshirt,"navy sweatshirt with applique', has an attached hood with drawstring 
fastening, a full press-button placket with a concealed full zip closure
 on the front, long sleeves with elbow patches, four pockets, and an 
inner fleece lining",boys, navy,u.s. polo assn. kids
148,parfait  size black solid underwired lightly padded everyday bra p5011,black solid medium-coverage everyday bra with lace detaillightly padded and underwired seamless cupsmultiway straps and back closureback style: regularfeature: side bone,women, red,parfait
149,parfait  size beige self design underwired non padded minimizer bra p5272,beige self design full-coverage minimizer branon padded and underwired cut and sew cupsregular straps and back closureback style: regularfeature: all day comfort,women, red,parfait
150,jewel junction  geometric cufflinks,a pair of silver-toned geometric solid cufflinkscomes in a signature jewel junction case,men, silver,jewel junction
151,dkny unisex black large trolley bag,"black textured large trolley bag, secured with a tsa lockone handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsone main zip compartment, an inner mesh zip compartment, two compression straps with click clasps and one zip compartment on the flap with a zip pocketwarranty: 5 yearswarranty provided by brand owner / manufacturer",unisex, black,dkny
152,dressberry  sequinned top,"off-white top, has a round neck, short sleeves, sequinned detail along the bodice, ruffled detail along the curved hem",women, white,dressberry
153,parx  blue slim fit checked casual shirt,"blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",men,blue,parx
154,buckleup  blue textured belt,blue textured beltsecured with a tang closurewarranty: 1 monthwarranty provided by brand/manufacturer,women,blue,buckleup
155,gini and jony  black & white regular fit printed trousers,"black and white printed mid-rise trousers, hook and bar closure, and 4 pockets",boys, black,gini and jony
156,parfait  size women lavender lace boy shorts 2805,"lavender lace low-rise boy shorts, has an inner elasticated waistband with bow detailing, double layered gusset",women, lavender,parfait
157,bvlgari  women the roman night eau de parfum 75 ml,the roman night eau de parfum,women, gold,bvlgari
158,parx  maroon slim fit printed casual shirt,"maroon printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",men, maroon,parx
159,colorplus  blue regular fit checked formal trousers,"blue checked mid-rise formal trousers, has a button closure, four pockets",men,blue,colorplus
160,parx  off-white & blue slim fit printed casual shirt,"off-white and blue printed casual shirt, has a spread collar, short sleeves, button placket, curved hem, one patch pocket",men,blue,parx
161,highlander  grey slim fit self design regular trousers,"grey self-design mid-rise trousers, button closure and four pockets",men, grey,highlander
162,parx  beige slim fit solid regular trousers,"beige solid mid-rise regular trousers, has a button closure, four pockets",men, beige,parx
163,tokyo talkies  green solid top,"green solid regular top,has v-neck,bell sleeves",women, green,tokyo talkies
164,buckleup  tan textured belt,tan textured beltreversible: nostretchable: nosecured with a tangwarranty: 1 monthwarranty provided by brand/manufacturer,women, red,buckleup
165,spykar  black alexa super skinny fit high-rise clean look stretchable jeans,"black dark wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",women, black,spykar
167,lakme  matte melt liquid lip color - 21 mauve mix 6 ml,lakme absolute matte melt liquid lip colorshade name: 21 mauve mix,women, matte,lakme
168,campus sutra  blue & white ombre-dyed henley neck t-shirt,"blue and white ombre-dyed t-shirt, has a henley neck, and short sleeves",men,blue,campus sutra
169,allen solly woman  white printed top,"white printed woven regular  top, has a round neck, and long sleeves",women, white,allen solly woman
170,palm tree  pink solid bomber jacket,"pink solid bomber jacket, has a stand collar, 2 pockets, zip closure, long sleeves, straight hem, and polyester lining",girls, pink,palm tree
171,parfait  size purple  pink lace underwired lightly padded t-shirt bra p5581,purple and pink lace medium-coverage t-shirt bralightly padded and underwired seamless cupsregular straps and back closureback style: regularfeature: all day comfort,women, red,parfait
172,arrow  tapered fit formal trousers,"a pair of taupe mid-rise formal trousers, has a zip fly with a button closure and a concealed hook-and-bar closure, an adjustable autoflex waistband with belt loops, four pockets, and adjustable hemsour stylist has paired these trousers with a beltthis pair of trousers does not come with a belt ",men, red,arrow
