,ProductName,Description,Gender,PrimaryColor,ProductBrand
173,jewel junction  geometric cufflinks,a pair of silver-toned and black geometric printed cufflinkscomes in a signature jewel junction case,men, silver,jewel junction
174,difference of opinion  mustard yellow solid round neck t-shirt with printed detailing,"mustard yellow solid t-shirt, has a round neck, and long sleeves",men, yellow,difference of opinion
175,accessher  gold-plated & white kundan-studded flower-shaped nosepin," oxidised gold-plated and white flower-shaped nosepin, has kundan-studded detail  secured with a clip-on closure ",women, white,accessher
176,highlander  grey & black striped round neck t-shirt,"grey and black striped t-shirt, has round neck, short sleeves",men, black,highlander
177,lady lyka  pack of 2 beginners bras teenager-red-wht,red and white solid medium-coverage beginners brasnon padded and non-wired cut and sew cupsregular straps and back closureback style: regularfeature: all day comfort,women, red,lady lyka
178,dkny unisex silver medium trolley bag,"silver textured medium trolley bag, secured with a tsa lockone handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsone main zip compartment, an inner mesh zip compartment, two compression straps with click clasps and one zip compartment on the flap with a zip pocketwarranty: 5 yearswarranty provided by brand owner / manufacturer",unisex, silver,dkny
179,raymond  green printed polo collar t-shirt,"green printed t-shirt, has a polo collar, short sleeves",men, green,raymond
180,lakme  matte melt liquid lip color - 23 pink poison 6 ml,lakme absolute matte melt liquid lip colorshade name: 23 pink poison,women, pink,lakme
183,accessher  & yellow classic drop earrings,gold-toned and yellow classic earrings and gold-plated secured with a post and back,women, yellow,accessher
184,mango  black & yellow floral print layered top,"black and yellow printed woven layered top, has a tie-up neck, sleeveless, and button closure",women, red,mango
185,park avenue  maroon self design top,"maroon self-design regular top, has a round neck, long sleeves, lace insert detail",women, maroon,park avenue
186,ahilya  gold-plated sterling silver hoop earrings,"a pair of maroon gold-plated sterling silver hoop earrings, has floral detail with multiple multifaceted stone embellishments, and a jhumki dangler with a cluster of beadssecured with a stylised insert closure",women, maroon,ahilya
187,accessher  & black beaded mangalsutra,"gold-plated and black beaded mangalsutra, handcrafted with vilandi kundan, secured with an golden adustable chain",women, black,accessher
188,lady lyka  beige and white pack of 2 beginners bras athlete-skn-wht-multi,pack of 2 beige and white solid medium-coverage beginners branon padded and non-wired cut and sew cupsregular straps and back closureback style: regularfeature: all day comfort,women, white,lady lyka
189,story@home  & pink floral 210 tc cotton 1 king bedsheet with 2 pillow covers,set content: 1 king bedsheet with 2 pillow coversquality: superfinethread count: 210colour: blue and pinkpattern: floral,unisex,blue,story@home
190,urban dog  charcoal black printed regular fit sports shorts,"charcoal balack printed mid-rise sports shorts, has two pockets, a drawstring closure",men, black,urban dog
191,id  beige solid leather mid-top flat boots,"a pair of round-toe beige flat boots, has mid-top styling, lace-up detailleather uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men, beige,id
192,carrera  tan brown flat boots,"a pair of round-toe tan brown flat boots, has regular styling, lace-up detailsynthetic leather uppercushioned footbedtextured and patterned outsolewarranty: 1 monthwarranty provided by brand/manufacturer",men, brown,carrera
193,story@home  green & grey geometric 210 tc cotton 1 king bedsheet with 2 pillow covers,set content: 1 king bedsheet with 2 pillow coversquality: finethread count: 210colour: olive green and greypattern: geometric,unisex, green,story@home
194,campus sutra  red & black standard regular fit checked casual shirt,"red and black checked casual shirt, has a spread collar, short sleeves, button placket, and curved hem",men, red,campus sutra
195,gini and jony  black regular fit solid chinos,"black solid mid-rise chinos, has hook-and-bar and zip closure, 5 pockets",boys, black,gini and jony
196,story@home  & white floral 210 tc cotton 1 king bedsheet with 2 pillow covers,set content: 1 king bedsheet with 2 pillow coversquality: finethread count: 210colour: green and whitepattern: floral,unisex, green,story@home
197,dkny unisex maroon solid leather backpack with pouch,maroon backpackpadded haul loop3 and more main compartments with zip closurepadded backzip pocketpadded shoulder strap: paddedwater-resistance: yes       comes with a pouchwarranty: 5 yearswarranty provided by brand/manufacturer,unisex, maroon,dkny
198,parx  khaki tapered fit solid regular trousers,"khaki solid mid-rise regular trousers, has a button closure, four pockets",men, red,parx
199,soie  self design underwired non padded everyday bra fb-610,green full-coverage everyday bra non padded and flexible underwired seamless three layered cupscushioned front straps with lace and back closuresandwiched brushed layer for no show apex,women, green,soie
200,raymond  maroon striped polo collar t-shirt,"maroon striped t-shirt, has polo collar, short sleeves",men, maroon,raymond
201,lakme  matte melt liquid lip color - 15 rose love 6 ml,lakme absolute matte melt liquid lip colorshade name: 15 rose love,women, matte,lakme
202,gini and jony  navy blue denim striped pinafore dress,"navy blue striped denim woven pinafore dress, has adjustable shoulder straps, sleeveless, concealed zip closure, and flared hem",girls,blue,gini and jony
203,parfait  size black solid underwired lightly padded everyday bra 4815,black solid medium-coverage everyday bra lightly padded and underwired seamless cups multiway straps and back closure back style: regular feature: all day comfort,women, red,parfait
204,parx  white & blue slim fit printed casual shirt,"white and blue printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",men,blue,parx
205,urban dog  black printed regular fit sports shorts,"black printed mid-rise sports shorts, has two pockets, a drawstring closure",men, black,urban dog
206,campus sutra  blue standard regular fit checked casual shirt,"blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",men,blue,campus sutra
207,ethnovogue  coral pink & orange printed made to measure printed maxi dress,"coral pink and orange printed made to measure maxi dresscoral pink and orange printed made to measure maxi dress, has a round-neck, short sleeves,  concealed side zip closure, padded cups, has embellished detailing, attached lining with mesh detailing, flared hemwhat is made to measure? customised gown according to your bust and length. so please refer to the size chart to pick your perfect size.how to measure bust?measure under your arms and around your chest to find your bust size in incheshow to measure gown length?measure from shoulder till barefoot to find dress length in inches",women, pink,ethnovogue
208,parfait  size black solid underwired lightly padded t-shirt bra 4812,black solid medium-coverage t-shirt bra lightly padded and underwired seamless cups regular straps and back closure back style: regular feature: all day comfort,women, red,parfait
209,lady lyka  brown and grey pack of 2 everyday bras coulour-pop-brn-gry,pack of 2 brown and grey solid medium-coverage everyday branon padded and non-wired cut and sew cupsregular straps and back closureback style: regularfeature: all day comfort,women, brown,lady lyka
210,parfait  size women navy blue solid hipster brief p5645,"navy blue solid low-rise hipster briefs with lace detail, has an inner elasticated waistband, double layered gusset",women,blue,parfait
211,tokyo talkies  burgundy solid top,burgundy solid regular  fit,women, burgundy,tokyo talkies
212,parx  blue & yellow slim fit checked casual shirt,"blue and yellow checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",men,blue,parx
213,romee  & red floral ac room 300 gsm single bed dohar,set content: single bed dohar  usage: ac room  gsm: 300  colour: grey and red  pattern: floral dohar,unisex, red,romee
214,zush  size women black regular fit mid-rise clean look jeans,"black dark wash five-pocket mid-rise jeans, clean look with heavy fade, has a button and zip closure, waistband with belt loops",women, black,zush
215,lady lyka  maroon and beige pack of 2 everyday bras monalisa-mrn-skn-multi,pack of 2 maroon and beige solid medium-coverage everyday branon padded and non-wired cut and sew cupsregular straps and back closureback style: regularfeature: all day comfort,women, beige,lady lyka
216,tayhaa  solid rectangular photo frame,set content: 1 photo frame colour: white frame pattern: solid shape: rectangular type: single material: acrylic ,unisex, white,tayhaa
217,gini and jony  navy blue slim fit printed regular trousers,"navy blue printed mid-rise knitted regular trousers, button closure, zip fly and 5 pockets",boys,blue,gini and jony
